# energy	fit	voigt_0	voigt_1	g_type_edge
9.01471698e+03 2.04317874e-01 5.74734302e-05 4.33364312e-03 1.99926758e-01
9.01509434e+03 2.04120915e-01 5.59512313e-05 4.13820625e-03 1.99926758e-01
9.01547170e+03 2.03936579e-01 5.44886572e-05 3.95533291e-03 1.99926758e-01
9.01584906e+03 2.03763840e-01 5.30826371e-05 3.78400006e-03 1.99926758e-01
9.01622642e+03 2.03601771e-01 5.17302949e-05 3.62328340e-03 1.99926758e-01
9.01660377e+03 2.03449533e-01 5.04289352e-05 3.47234662e-03 1.99926758e-01
9.01698113e+03 2.03306365e-01 4.91760292e-05 3.33043179e-03 1.99926758e-01
9.01735849e+03 2.03171578e-01 4.79692031e-05 3.19685108e-03 1.99926758e-01
9.01773585e+03 2.03044543e-01 4.68062265e-05 3.07097929e-03 1.99926758e-01
9.01811321e+03 2.02924690e-01 4.56850022e-05 2.95224735e-03 1.99926758e-01
9.01849057e+03 2.02811498e-01 4.46035568e-05 2.84013654e-03 1.99926758e-01
9.01886792e+03 2.02704491e-01 4.35600320e-05 2.73417337e-03 1.99926758e-01
9.01924528e+03 2.02603235e-01 4.25526768e-05 2.63392503e-03 1.99926758e-01
9.01962264e+03 2.02507333e-01 4.15798400e-05 2.53899539e-03 1.99926758e-01
9.02000000e+03 2.02416419e-01 4.06399634e-05 2.44902139e-03 1.99926758e-01
