# time_delay	fit_example_osc_1	fit_example_osc_2	fit_example_osc_3	fit_example_osc_4
2.40000000e+00 -1.60384575e-03 -2.10560681e-05 1.32166294e-04 1.90334852e-04
2.60000000e+00 2.64289780e-03 -2.69573894e-05 -1.47314935e-04 4.29524018e-05
2.80000000e+00 -9.40213111e-04 3.49004144e-05 2.34760600e-05 -1.61669106e-04
3.00000000e+00 -1.06738884e-03 -8.50718050e-06 8.16653529e-05 9.48258344e-05
3.20000000e+00 1.45393323e-03 -1.70903433e-05 -7.84584426e-05 3.67024724e-05
3.40000000e+00 -3.92045008e-04 1.88506495e-05 4.87595103e-06 -9.22708843e-05
3.60000000e+00 -6.83132335e-04 -2.88352837e-06 4.93385909e-05 4.58760799e-05
3.80000000e+00 7.88669753e-04 -1.05423654e-05 -4.11050343e-05 2.72652144e-05
4.00000000e+00 -1.42213209e-04 1.00289034e-05 -1.87865474e-06 -5.19263141e-05
4.20000000e+00 -4.24538915e-04 -5.53223278e-07 2.92459255e-05 2.13453516e-05
4.40000000e+00 4.21513817e-04 -6.36034696e-06 -2.11393672e-05 1.87703918e-05
4.60000000e+00 -3.58042882e-05 5.24797132e-06 -3.58560126e-06 -2.88226703e-05
4.80000000e+00 -2.57706271e-04 2.81237960e-07 1.70477055e-05 9.38826650e-06
5.00000000e+00 2.21692694e-04 -3.76560518e-06 -1.06375588e-05 1.23037763e-05
6.00000000e+00 -8.97339813e-05 4.45694088e-07 5.53853459e-06 1.25762078e-06
7.00000000e+00 1.30708549e-05 3.12530779e-07 -1.23820769e-06 -2.36627804e-06
8.00000000e+00 6.23325147e-06 -2.18039833e-07 -1.70881753e-07 9.94668901e-07
9.00000000e+00 -4.94106622e-06 6.37963259e-08 2.60100146e-07 -1.57791741e-07
1.00000000e+01 1.56599140e-06 -7.32566281e-10 -1.04709090e-07 -6.26966059e-08
2.00000000e+01 -1.04597300e-10 1.42748504e-12 5.41805719e-12 -3.78553652e-12
3.00000000e+01 2.28260426e-15 -9.83191099e-17 -4.14602844e-17 4.71091272e-16
4.00000000e+01 1.79369102e-19 2.29045370e-21 -1.47074624e-20 -2.09140322e-20
5.00000000e+01 -2.00821638e-23 1.58383862e-25 1.17247716e-24 -5.77028331e-26
6.00000000e+01 8.32981518e-28 -1.86272870e-29 -3.48500073e-29 7.21325034e-29
7.00000000e+01 6.59121897e-33 7.98639550e-34 -1.35714041e-33 -4.90086290e-33
8.00000000e+01 -3.17580561e-36 4.27920842e-39 2.09155123e-37 1.10990341e-37
9.00000000e+01 2.02589700e-40 -2.90094170e-42 -1.03384013e-41 8.11926854e-42
1.00000000e+02 -3.95664503e-45 1.90723309e-46 4.86650530e-47 -9.33983323e-46
2.00000000e+02 2.92018333e-87 -7.28324408e-89 -1.13565513e-88 2.96431043e-88
3.00000000e+02 -1.45042541e-129 2.39110332e-131 7.04255180e-131 -7.63016501e-131
4.00000000e+02 5.93166402e-172 -6.48857504e-174 -3.25620293e-173 1.21752587e-173
5.00000000e+02 -2.08445465e-214 1.20818745e-216 1.26680051e-215 1.92150619e-216
6.00000000e+02 6.21279637e-257 4.63615602e-260 -4.24036519e-258 -2.92361729e-258
7.00000000e+02 -1.43002167e-299 -1.92384672e-301 1.18373064e-300 1.72392693e-300
8.00000000e+02 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
9.00000000e+02 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.00000000e+03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.00000000e+03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
