# time_delay	fit_example_osc_1	fit_example_osc_2	fit_example_osc_3	fit_example_osc_4
1.00000000e+00 9.92216110e-01 7.07590593e-01 5.66117208e-01 3.03296065e-01
1.20000000e+00 9.98409615e-01 7.23613039e-01 6.17112826e-01 2.65319631e-01
1.40000000e+00 1.00981313e+00 7.30890046e-01 6.51599090e-01 2.30385362e-01
1.60000000e+00 9.97064535e-01 7.32295345e-01 6.77009183e-01 1.99409909e-01
1.80000000e+00 9.99252575e-01 7.29425040e-01 6.94721545e-01 1.72358038e-01
2.00000000e+00 1.00629915e+00 7.24161981e-01 7.07162079e-01 1.46019514e-01
2.20000000e+00 9.99492282e-01 7.17354068e-01 7.17226485e-01 1.21122087e-01
2.40000000e+00 9.99993266e-01 7.09326260e-01 7.24855530e-01 9.80992441e-02
2.60000000e+00 1.00424863e+00 7.00754788e-01 7.30676140e-01 7.53306572e-02
2.80000000e+00 1.00066878e+00 6.91899757e-01 7.35946350e-01 5.32259498e-02
3.00000000e+00 1.00054002e+00 6.82768047e-01 7.40413838e-01 3.22005261e-02
3.20000000e+00 1.00305526e+00 6.73618682e-01 7.44180804e-01 1.14071547e-02
3.40000000e+00 1.00119897e+00 6.64539588e-01 7.47848346e-01 -8.96082377e-03
3.60000000e+00 1.00089354e+00 6.55479619e-01 7.51227631e-01 -2.86017372e-02
3.80000000e+00 1.00234713e+00 6.46543448e-01 7.54285496e-01 -4.79662705e-02
4.00000000e+00 1.00139431e+00 6.37766063e-01 7.57328916e-01 -6.69786607e-02
4.20000000e+00 1.00108641e+00 6.29100860e-01 7.60248835e-01 -8.54419579e-02
4.40000000e+00 1.00190336e+00 6.20591189e-01 7.62991411e-01 -1.03597630e-01
4.60000000e+00 1.00141349e+00 6.12253554e-01 7.65719539e-01 -1.21425998e-01
4.80000000e+00 1.00115568e+00 6.04055474e-01 7.68377707e-01 -1.38806001e-01
5.00000000e+00 1.00159587e+00 5.96014401e-01 7.70921121e-01 -1.55867522e-01
6.00000000e+00 1.00104148e+00 5.58119147e-01 7.82927279e-01 -2.36161815e-01
7.00000000e+00 1.00082875e+00 5.23806689e-01 7.93648206e-01 -3.08667282e-01
8.00000000e+00 1.00044090e+00 4.92753392e-01 8.03261386e-01 -3.74136428e-01
9.00000000e+00 9.99989572e-01 4.64650850e-01 8.11868547e-01 -4.33254059e-01
1.00000000e+01 9.99502551e-01 4.39216114e-01 8.19566211e-01 -4.86622428e-01
2.00000000e+01 9.92561491e-01 2.85912125e-01 8.62154180e-01 -8.02659218e-01
3.00000000e+01 9.83766552e-01 2.28551605e-01 8.72131179e-01 -9.12100007e-01
4.00000000e+01 9.74354920e-01 2.06320232e-01 8.70228134e-01 -9.45985895e-01
