# time_delay 	 res_example_osc_2 	 eps
5.60000000e-01 2.13232249e-03 3.64864670e-03
5.80000000e-01 2.14852072e-03 3.64864670e-03
6.00000000e-01 5.21616963e-03 3.64864670e-03
6.20000000e-01 2.84010297e-03 3.64864670e-03
6.40000000e-01 6.79216589e-03 3.64864670e-03
6.60000000e-01 -2.52848628e-04 3.64864670e-03
6.80000000e-01 -1.82826530e-03 3.64864670e-03
7.00000000e-01 4.16148689e-03 3.64864670e-03
7.20000000e-01 3.12261501e-03 3.64864670e-03
7.40000000e-01 3.29491963e-03 3.64864670e-03
7.60000000e-01 3.26238957e-03 3.64864670e-03
7.80000000e-01 -5.40472678e-04 3.64864670e-03
8.00000000e-01 -1.74001557e-03 3.64864670e-03
8.20000000e-01 -2.64561896e-03 3.64864670e-03
8.40000000e-01 -4.10415217e-03 3.64864670e-03
8.60000000e-01 4.59232617e-03 3.64864670e-03
8.80000000e-01 3.05665111e-03 3.64864670e-03
9.00000000e-01 -3.72528345e-03 3.64864670e-03
9.20000000e-01 3.05004188e-03 3.64864670e-03
9.40000000e-01 2.14311553e-03 3.64864670e-03
9.60000000e-01 1.28997126e-03 3.64864670e-03
9.80000000e-01 -5.85970264e-03 3.64864670e-03
1.00000000e+00 3.15237592e-03 3.64864670e-03
1.20000000e+00 4.18419738e-03 3.64864670e-03
1.40000000e+00 5.40300473e-04 3.64864670e-03
1.60000000e+00 -2.08971558e-03 3.64864670e-03
1.80000000e+00 -3.71966080e-03 3.64864670e-03
2.00000000e+00 -4.31672814e-03 3.64864670e-03
2.20000000e+00 -1.99319076e-03 3.64864670e-03
2.40000000e+00 -5.86750815e-03 3.64864670e-03
2.60000000e+00 1.56171441e-03 3.64864670e-03
2.80000000e+00 -3.30498806e-03 3.64864670e-03
3.00000000e+00 4.78642937e-03 3.64864670e-03
3.20000000e+00 -1.11652290e-03 3.64864670e-03
3.40000000e+00 2.61114302e-03 3.64864670e-03
3.60000000e+00 -1.43156624e-03 3.64864670e-03
3.80000000e+00 -2.78437789e-03 3.64864670e-03
4.00000000e+00 -4.79701684e-03 3.64864670e-03
4.20000000e+00 -6.25845380e-03 3.64864670e-03
4.40000000e+00 -2.22395019e-03 3.64864670e-03
4.60000000e+00 1.13269906e-03 3.64864670e-03
4.80000000e+00 2.76490331e-03 3.64864670e-03
5.00000000e+00 -4.26952899e-03 3.64864670e-03
6.00000000e+00 7.95381013e-04 3.64864670e-03
7.00000000e+00 -6.65022180e-04 3.64864670e-03
8.00000000e+00 -7.51856930e-03 3.64864670e-03
9.00000000e+00 4.72783638e-03 3.64864670e-03
1.00000000e+01 8.82667654e-04 3.64864670e-03
2.00000000e+01 1.08085483e-03 3.64864670e-03
3.00000000e+01 7.11662451e-03 3.64864670e-03
4.00000000e+01 -1.04543329e-04 3.64864670e-03
5.00000000e+01 4.75100161e-03 3.64864670e-03
6.00000000e+01 -2.40012795e-03 3.64864670e-03
7.00000000e+01 -9.29990205e-04 3.64864670e-03
8.00000000e+01 2.64184648e-03 3.64864670e-03
9.00000000e+01 -7.52722330e-04 3.64864670e-03
1.00000000e+02 -5.31354681e-03 3.64864670e-03
2.00000000e+02 -1.54228641e-03 3.64864670e-03
3.00000000e+02 -1.25141691e-03 3.64864670e-03
4.00000000e+02 4.27994368e-04 3.64864670e-03
5.00000000e+02 2.62576458e-03 3.64864670e-03
6.00000000e+02 2.30121596e-03 3.64864670e-03
7.00000000e+02 2.52746148e-03 3.64864670e-03
8.00000000e+02 7.29399421e-04 3.64864670e-03
9.00000000e+02 -4.50928033e-04 3.64864670e-03
1.00000000e+03 -5.01117842e-03 3.64864670e-03
2.00000000e+03 3.80973611e-04 3.64864670e-03
