# energy 	 res 	 eps
8.99056604e+03 -6.88775046e-03 1.00000000e-03
8.99094340e+03 -1.01344789e-02 1.00000000e-03
8.99132075e+03 -8.74625985e-03 1.00000000e-03
8.99169811e+03 -8.86318508e-03 1.00000000e-03
8.99207547e+03 -6.76819002e-03 1.00000000e-03
8.99245283e+03 -6.60765133e-03 1.00000000e-03
8.99283019e+03 -7.70068471e-03 1.00000000e-03
8.99320755e+03 -5.92020729e-03 1.00000000e-03
8.99358491e+03 -6.42415021e-03 1.00000000e-03
8.99396226e+03 -3.35006512e-03 1.00000000e-03
8.99433962e+03 -1.36798069e-03 1.00000000e-03
8.99471698e+03 2.45617897e-03 1.00000000e-03
8.99509434e+03 3.09250078e-03 1.00000000e-03
8.99547170e+03 4.89206776e-03 1.00000000e-03
8.99584906e+03 5.88456331e-03 1.00000000e-03
8.99622642e+03 9.38000210e-03 1.00000000e-03
8.99660377e+03 1.37168805e-02 1.00000000e-03
8.99698113e+03 1.69415438e-02 1.00000000e-03
8.99735849e+03 1.71757667e-02 1.00000000e-03
8.99773585e+03 2.16348006e-02 1.00000000e-03
8.99811321e+03 2.46696165e-02 1.00000000e-03
8.99849057e+03 2.72790380e-02 1.00000000e-03
8.99886792e+03 2.74842963e-02 1.00000000e-03
8.99924528e+03 2.88374480e-02 1.00000000e-03
8.99962264e+03 3.16407444e-02 1.00000000e-03
9.00000000e+03 3.33422163e-02 1.00000000e-03
9.00037736e+03 2.91770077e-02 1.00000000e-03
9.00075472e+03 3.06165994e-02 1.00000000e-03
9.00113208e+03 2.57555325e-02 1.00000000e-03
9.00150943e+03 2.55881144e-02 1.00000000e-03
9.00188679e+03 2.30508382e-02 1.00000000e-03
9.00226415e+03 2.07639509e-02 1.00000000e-03
9.00264151e+03 1.75945140e-02 1.00000000e-03
9.00301887e+03 1.53852821e-02 1.00000000e-03
9.00339623e+03 1.33579427e-02 1.00000000e-03
9.00377358e+03 9.45902074e-03 1.00000000e-03
9.00415094e+03 8.25643712e-03 1.00000000e-03
9.00452830e+03 7.92198509e-03 1.00000000e-03
9.00490566e+03 3.80149189e-03 1.00000000e-03
9.00528302e+03 2.24773409e-03 1.00000000e-03
9.00566038e+03 1.34037581e-03 1.00000000e-03
9.00603774e+03 -8.98370040e-04 1.00000000e-03
9.00641509e+03 -3.36089232e-03 1.00000000e-03
9.00679245e+03 -2.73650481e-03 1.00000000e-03
9.00716981e+03 -6.88446219e-03 1.00000000e-03
9.00754717e+03 -5.42281279e-03 1.00000000e-03
9.00792453e+03 -5.62566120e-03 1.00000000e-03
9.00830189e+03 -5.28817661e-03 1.00000000e-03
9.00867925e+03 -5.75758623e-03 1.00000000e-03
9.00905660e+03 -9.53220572e-03 1.00000000e-03
9.00943396e+03 -1.07069958e-02 1.00000000e-03
9.00981132e+03 -1.19728183e-02 1.00000000e-03
9.01018868e+03 -8.63722059e-03 1.00000000e-03
9.01056604e+03 -1.21986602e-02 1.00000000e-03
9.01094340e+03 -1.11811158e-02 1.00000000e-03
9.01132075e+03 -1.29163555e-02 1.00000000e-03
9.01169811e+03 -1.31006966e-02 1.00000000e-03
9.01207547e+03 -1.46708227e-02 1.00000000e-03
9.01245283e+03 -1.21086926e-02 1.00000000e-03
9.01283019e+03 -1.36625016e-02 1.00000000e-03
9.01320755e+03 -1.28770525e-02 1.00000000e-03
9.01358491e+03 -1.41625035e-02 1.00000000e-03
9.01396226e+03 -1.66480345e-02 1.00000000e-03
9.01433962e+03 -1.33647468e-02 1.00000000e-03
9.01471698e+03 -1.27808871e-02 1.00000000e-03
9.01509434e+03 -1.47667472e-02 1.00000000e-03
9.01547170e+03 -1.51436441e-02 1.00000000e-03
9.01584906e+03 -1.48542983e-02 1.00000000e-03
9.01622642e+03 -1.64998286e-02 1.00000000e-03
9.01660377e+03 -1.54504866e-02 1.00000000e-03
9.01698113e+03 -1.49968460e-02 1.00000000e-03
9.01735849e+03 -1.52487704e-02 1.00000000e-03
9.01773585e+03 -1.64812384e-02 1.00000000e-03
9.01811321e+03 -1.74841204e-02 1.00000000e-03
9.01849057e+03 -1.66413950e-02 1.00000000e-03
9.01886792e+03 -1.43862269e-02 1.00000000e-03
9.01924528e+03 -1.72620537e-02 1.00000000e-03
9.01962264e+03 -1.54874674e-02 1.00000000e-03
9.02000000e+03 -1.81929887e-02 1.00000000e-03
