# time_delay	fit_example_osc_1	fit_example_osc_2	fit_example_osc_3	fit_example_osc_4
4.60000000e+00 9.98583116e-01 6.00812588e-01 7.66183591e-01 -1.32253207e-01
4.80000000e+00 9.98328941e-01 5.92875989e-01 7.68794135e-01 -1.49369446e-01
5.00000000e+00 9.98310717e-01 5.85089174e-01 7.71332403e-01 -1.66122074e-01
6.00000000e+00 9.97787643e-01 5.48379458e-01 7.83187501e-01 -2.44997506e-01
7.00000000e+00 9.97258407e-01 5.15133718e-01 7.93793374e-01 -3.16257271e-01
8.00000000e+00 9.96660972e-01 4.85033097e-01 8.03300215e-01 -3.80638327e-01
9.00000000e+00 9.96030056e-01 4.57779243e-01 8.11816214e-01 -4.38794556e-01
1.00000000e+01 9.95365595e-01 4.33101288e-01 8.19436132e-01 -4.91318986e-01
2.00000000e+01 9.87430183e-01 2.84023694e-01 8.61670787e-01 -8.02986395e-01
3.00000000e+01 9.78317880e-01 2.27967329e-01 8.71613648e-01 -9.11376138e-01
4.00000000e+01 9.68834562e-01 2.06125215e-01 8.69739211e-01 -9.45087014e-01
5.00000000e+01 9.59275963e-01 1.96875200e-01 8.63574940e-01 -9.51401339e-01
6.00000000e+01 9.49750209e-01 1.92267174e-01 8.55887967e-01 -9.47703168e-01
7.00000000e+01 9.40296452e-01 1.89377936e-01 8.47695161e-01 -9.40383628e-01
8.00000000e+01 9.30928489e-01 1.87132570e-01 8.39369865e-01 -9.31791998e-01
9.00000000e+01 9.21650802e-01 1.85135734e-01 8.31048816e-01 -9.22791464e-01
1.00000000e+02 9.12464454e-01 1.83241953e-01 8.22781759e-01 -9.13698814e-01
2.00000000e+02 8.25483663e-01 1.65748479e-01 7.44358659e-01 -8.26656509e-01
3.00000000e+02 7.46794005e-01 1.49948418e-01 6.73402285e-01 -7.47855052e-01
4.00000000e+02 6.75605480e-01 1.35654508e-01 6.09209864e-01 -6.76565382e-01
5.00000000e+02 6.11203038e-01 1.22723172e-01 5.51136618e-01 -6.12071437e-01
6.00000000e+02 5.52939792e-01 1.11024522e-01 4.98599235e-01 -5.53725411e-01
7.00000000e+02 5.00230521e-01 1.00441052e-01 4.51070005e-01 -5.00941249e-01
8.00000000e+02 4.52545787e-01 9.08664565e-02 4.08071523e-01 -4.53188765e-01
9.00000000e+02 4.09406626e-01 8.22045645e-02 3.69171894e-01 -4.09988312e-01
1.00000000e+03 3.70379727e-01 7.43683718e-02 3.33980392e-01 -3.70905964e-01
2.00000000e+03 1.36009929e-01 2.73093699e-02 1.22643455e-01 -1.36203172e-01
