# time_delay	fit_example_osc_1	fit_example_osc_2	fit_example_osc_3	fit_example_osc_4
4.20000000e+00 9.98673834e-01 6.17150120e-01 7.60735545e-01 -9.69795168e-02
4.40000000e+00 9.98585532e-01 6.08904695e-01 7.63501046e-01 -1.14800450e-01
4.60000000e+00 9.98495055e-01 6.00813055e-01 7.66183214e-01 -1.32258816e-01
4.80000000e+00 9.98402439e-01 5.92875059e-01 7.68791971e-01 -1.49363634e-01
5.00000000e+00 9.98307722e-01 5.85089608e-01 7.71334304e-01 -1.66123138e-01
6.00000000e+00 9.97804012e-01 5.48379245e-01 7.83186995e-01 -2.44996200e-01
7.00000000e+00 9.97253619e-01 5.15133746e-01 7.93793368e-01 -3.16257583e-01
8.00000000e+00 9.96661058e-01 4.85033106e-01 8.03300259e-01 -3.80638342e-01
9.00000000e+00 9.96030436e-01 4.57779237e-01 8.11816201e-01 -4.38794525e-01
1.00000000e+01 9.95365471e-01 4.33101289e-01 8.19436132e-01 -4.91318994e-01
2.00000000e+01 9.87430183e-01 2.84023694e-01 8.61670787e-01 -8.02986395e-01
3.00000000e+01 9.78317880e-01 2.27967329e-01 8.71613648e-01 -9.11376138e-01
4.00000000e+01 9.68834562e-01 2.06125215e-01 8.69739211e-01 -9.45087014e-01
5.00000000e+01 9.59275963e-01 1.96875200e-01 8.63574940e-01 -9.51401339e-01
6.00000000e+01 9.49750209e-01 1.92267174e-01 8.55887967e-01 -9.47703168e-01
7.00000000e+01 9.40296452e-01 1.89377936e-01 8.47695161e-01 -9.40383628e-01
8.00000000e+01 9.30928489e-01 1.87132570e-01 8.39369865e-01 -9.31791998e-01
9.00000000e+01 9.21650802e-01 1.85135734e-01 8.31048816e-01 -9.22791464e-01
1.00000000e+02 9.12464454e-01 1.83241953e-01 8.22781759e-01 -9.13698814e-01
2.00000000e+02 8.25483663e-01 1.65748479e-01 7.44358659e-01 -8.26656509e-01
3.00000000e+02 7.46794005e-01 1.49948418e-01 6.73402285e-01 -7.47855052e-01
4.00000000e+02 6.75605480e-01 1.35654508e-01 6.09209864e-01 -6.76565382e-01
5.00000000e+02 6.11203038e-01 1.22723172e-01 5.51136618e-01 -6.12071437e-01
6.00000000e+02 5.52939792e-01 1.11024522e-01 4.98599235e-01 -5.53725411e-01
7.00000000e+02 5.00230521e-01 1.00441052e-01 4.51070005e-01 -5.00941249e-01
8.00000000e+02 4.52545787e-01 9.08664565e-02 4.08071523e-01 -4.53188765e-01
9.00000000e+02 4.09406626e-01 8.22045645e-02 3.69171894e-01 -4.09988312e-01
1.00000000e+03 3.70379727e-01 7.43683718e-02 3.33980392e-01 -3.70905964e-01
2.00000000e+03 1.36009929e-01 2.73093699e-02 1.22643455e-01 -1.36203172e-01
