# time_delay	fit_example_osc_1	fit_example_osc_2	fit_example_osc_3	fit_example_osc_4
8.80000000e-01 -1.03483030e-02 9.26318999e-05 1.28825309e-04 -7.38089811e-04
9.00000000e-01 -9.55123502e-03 1.11581775e-04 2.38335106e-04 -7.35758839e-04
9.20000000e-01 -7.17052152e-03 1.10670144e-04 3.02097737e-04 -6.08591241e-04
9.40000000e-01 -3.68670746e-03 9.10080556e-05 3.11487335e-04 -3.84193284e-04
9.60000000e-01 2.55466181e-04 5.68373296e-05 2.67527123e-04 -1.05354090e-04
9.80000000e-01 3.96445946e-03 1.46594644e-05 1.80251092e-04 1.77951925e-04
1.00000000e+00 6.82162611e-03 -2.79772595e-05 6.65661737e-05 4.17397798e-04
1.20000000e+00 -6.57309390e-03 7.72611568e-05 1.66178711e-04 -5.07329314e-04
1.40000000e+00 9.11262293e-04 -4.25839873e-05 -1.68972285e-04 1.36951107e-04
1.60000000e+00 3.30935328e-03 -1.42848085e-05 2.90317117e-05 2.03979595e-04
1.80000000e+00 -3.11200329e-03 3.70302842e-05 8.07430243e-05 -2.41136202e-04
2.00000000e+00 3.82784037e-04 -1.98753395e-05 -8.00785917e-05 6.16817285e-05
2.20000000e+00 1.60436858e-03 -7.25938731e-06 1.25446302e-05 9.95873247e-05
2.40000000e+00 -1.47267582e-03 1.77405714e-05 3.92028469e-05 -1.14564951e-04
2.60000000e+00 1.57758229e-04 -9.26808537e-06 -3.79332996e-05 2.76717125e-05
2.80000000e+00 7.77285024e-04 -3.67388124e-06 5.35946460e-06 4.85759337e-05
3.00000000e+00 -6.96574978e-04 8.49560772e-06 1.90205972e-05 -5.44072193e-05
3.20000000e+00 6.33739389e-05 -4.31771957e-06 -1.79607831e-05 1.23588991e-05
3.40000000e+00 3.76339897e-04 -1.85246887e-06 2.25756360e-06 2.36731153e-05
3.60000000e+00 -3.29320402e-04 4.06667057e-06 9.22220603e-06 -2.58270625e-05
3.80000000e+00 2.45507525e-05 -2.00949904e-06 -8.50016498e-06 5.49179613e-06
4.00000000e+00 1.82100905e-04 -9.30990893e-07 9.33815956e-07 1.15271740e-05
4.20000000e+00 -1.55616499e-04 1.94581913e-06 4.46847237e-06 -1.22547760e-05
4.40000000e+00 8.99671108e-06 -9.34261165e-07 -4.02090326e-06 2.42606226e-06
4.60000000e+00 8.80609453e-05 -4.66498809e-07 3.77004607e-07 5.60838998e-06
4.80000000e+00 -7.34978754e-05 9.30649104e-07 2.16374314e-06 -5.81226745e-06
5.00000000e+00 2.99485308e-06 -4.33882338e-07 -1.90112457e-06 1.06443168e-06
6.00000000e+00 -1.63697317e-05 2.12626096e-07 5.06405238e-07 -1.30570924e-06
7.00000000e+00 4.78845372e-06 -2.86916828e-08 5.27596331e-09 3.11914828e-07
8.00000000e+00 -8.64190806e-08 -9.19845504e-09 -4.45823947e-08 1.46786908e-08
9.00000000e+00 -3.79573204e-07 5.26732395e-09 1.32855261e-08 -3.09806163e-08
1.00000000e+01 1.24253723e-07 -8.42252316e-10 -3.10625068e-10 8.29804892e-09
2.00000000e+01 -2.62011554e-13 -8.74589505e-16 -1.14812505e-14 -1.19578663e-14
3.00000000e+01 -6.53306566e-19 2.20695031e-20 8.24051534e-20 -8.05013957e-20
4.00000000e+01 9.40276079e-24 -1.30009275e-25 -3.26944698e-25 7.66462073e-25
5.00000000e+01 -4.99757475e-29 4.39501553e-31 5.86193976e-31 -3.54809507e-30
6.00000000e+01 1.51211548e-34 -4.16928176e-37 2.40605204e-36 8.82747696e-36
7.00000000e+01 -4.22440794e-41 -5.70403546e-42 -2.73221529e-41 9.69929953e-42
8.00000000e+01 -2.63602259e-45 4.60061480e-47 1.35422887e-46 -2.34852713e-46
9.00000000e+01 1.83588170e-50 -1.96148035e-52 -3.74197252e-52 1.37592502e-51
1.00000000e+02 -7.13315059e-56 4.17896934e-58 -1.22138992e-58 -4.62658114e-57
2.00000000e+02 -4.87144700e-110 -8.88170092e-112 -5.45673044e-111 -7.06769600e-112
3.00000000e+02 3.33310074e-163 -6.19475427e-165 -1.88520625e-164 3.04848826e-164
4.00000000e+02 1.55268922e-216 -1.60493485e-218 -2.91760810e-218 1.15240068e-217
5.00000000e+02 3.23220756e-270 -1.37747693e-272 2.91655422e-272 1.98854510e-271
6.00000000e+02 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
7.00000000e+02 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
8.00000000e+02 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
9.00000000e+02 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.00000000e+03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.00000000e+03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
